date,Wellfargo_OT,Citi_OT,Barclay_OT,OT
1989-11-02,2.65625,23.55125,76.703796,11.5
1989-11-03,2.65625,23.655001,78.848198,11.46875
1989-11-06,2.65625,23.34375,78.353302,11.15625
1989-11-07,2.65625,23.032499,78.1884,11.375
1989-11-08,2.671875,22.928749,77.858398,11.78125
1989-11-09,2.59375,22.721251,81.9823,11.84375
1989-11-10,2.59375,23.032499,85.281403,12.1875
1989-11-13,2.65625,23.24,84.9515,12.5
1989-11-14,2.640625,23.13625,84.786499,12.3125
1989-11-15,2.6875,23.032499,84.786499,12.28125
1989-11-16,2.65625,22.928749,85.611298,12.21875
1989-11-17,2.609375,23.032499,86.930901,12.15625
1989-11-20,2.609375,22.928749,84.621597,11.875
1989-11-21,2.625,23.13625,84.456596,11.78125
1989-11-22,2.671875,23.24,84.291702,11.71875
1989-11-24,2.625,23.655001,86.600998,11.75
1989-11-27,2.625,24.17375,86.436096,11.90625
1989-11-28,2.640625,24.17375,87.425797,12.0
1989-11-29,2.6875,23.862499,89.735199,11.9375
1989-11-30,2.703125,24.17375,89.405296,11.71875
1989-12-01,2.796875,24.588751,90.230003,11.59375
1989-12-04,2.78125,24.692499,90.889801,11.4375
1989-12-05,2.75,24.485001,90.394997,11.21875
1989-12-06,2.609375,23.758751,90.559898,10.59375
1989-12-07,2.65625,23.4475,90.065102,10.90625
1989-12-08,2.640625,24.07,89.405296,10.96875
1989-12-11,2.65625,24.17375,89.735199,10.75
1989-12-12,2.671875,24.38125,91.054802,11.0
1989-12-13,2.5625,24.17375,92.869301,11.0
1989-12-14,2.46875,24.485001,92.209503,11.0
1989-12-15,2.40625,24.17375,92.209503,11.03125
1989-12-18,2.375,22.928749,92.044502,10.71875
1989-12-19,2.40625,22.51375,90.559898,10.40625
1989-12-20,2.5,22.51375,90.724899,10.75
1989-12-21,2.59375,22.30625,91.549698,10.875
1989-12-22,2.640625,22.51375,92.044502,11.09375
1989-12-26,2.734375,22.51375,92.044502,11.375
1989-12-27,2.796875,22.825001,93.529099,11.53125
1989-12-28,2.859375,22.928749,93.034302,11.625
1989-12-29,2.8125,23.655001,94.188904,11.5625
1990-01-02,2.828125,24.38125,94.353897,11.65625
1990-01-03,2.703125,24.692499,95.508598,11.75
1990-01-04,2.671875,24.38125,94.848801,11.5
1990-01-05,2.59375,24.588751,95.508598,11.25
1990-01-08,2.671875,24.796249,95.508598,11.3125
1990-01-09,2.59375,24.485001,95.508598,11.3125
1990-01-10,2.625,24.2775,93.859001,11.09375
1990-01-11,2.625,24.485001,93.694099,11.0
1990-01-12,2.578125,23.24,92.209503,10.6875
1990-01-15,2.5625,23.13625,91.384697,10.375
1990-01-16,2.59375,23.032499,91.054802,10.75
1990-01-17,2.640625,23.655001,92.374397,10.8125
1990-01-18,2.640625,23.966249,92.044502,10.65625
1990-01-19,2.640625,23.966249,91.549698,11.0625
1990-01-22,2.578125,22.928749,90.559898,10.875
1990-01-23,2.578125,22.202499,90.724899,11.09375
1990-01-24,2.546875,22.41,91.054802,10.96875
1990-01-25,2.5625,21.58,89.900101,10.9375
1990-01-26,2.609375,21.7875,91.384697,10.75
1990-01-29,2.578125,21.68375,92.209503,10.625
1990-01-30,2.515625,20.85375,93.529099,10.21875
1990-01-31,2.59375,21.68375,95.013702,10.5
1990-02-01,2.546875,21.7875,96.6633,10.34375
1990-02-02,2.546875,22.41,96.6633,10.71875
1990-02-05,2.46875,22.30625,96.003403,10.5
1990-02-06,2.359375,21.58,94.188904,10.375
1990-02-07,2.375,22.41,93.199203,10.5625
1990-02-08,2.375,22.202499,93.364197,10.4375
1990-02-09,2.421875,22.30625,93.199203,10.53125
1990-02-12,2.359375,21.7875,91.549698,10.53125
1990-02-13,2.375,21.47625,91.384697,10.5
1990-02-14,2.375,21.47625,90.724899,10.65625
1990-02-15,2.46875,21.995001,90.065102,10.9375
1990-02-16,2.46875,22.202499,91.054802,11.1875
1990-02-20,2.375,21.58,91.549698,11.03125
1990-02-21,2.359375,21.58,91.219803,10.96875
1990-02-22,2.390625,21.372499,91.7146,11.09375
1990-02-23,2.390625,21.372499,90.724899,11.0
1990-02-26,2.4375,22.202499,93.364197,11.0
1990-02-27,2.4375,22.098749,93.034302,11.21875
1990-02-28,2.4375,22.30625,93.859001,11.125
1990-03-01,2.40625,22.30625,95.6735,11.15625
1990-03-02,2.40625,22.30625,95.6735,11.5
1990-03-05,2.390625,22.202499,95.013702,11.46875
1990-03-06,2.40625,22.202499,95.838501,11.375
1990-03-07,2.390625,21.995001,96.498299,11.34375
1990-03-08,2.421875,22.6175,96.6633,10.90625
1990-03-09,2.4375,22.721251,96.828201,10.375
1990-03-12,2.484375,22.6175,93.859001,10.34375
1990-03-13,2.484375,22.51375,93.364197,10.15625
1990-03-14,2.46875,23.34375,93.529099,10.0625
1990-03-15,2.46875,23.55125,93.529099,10.125
1990-03-16,2.5,23.862499,93.859001,10.125
1990-03-19,2.453125,23.655001,92.7043,10.0625
1990-03-20,2.453125,23.032499,94.518799,9.96875
1990-03-21,2.421875,23.032499,93.529099,9.9375
1990-03-22,2.359375,22.41,93.694099,9.625
1990-03-23,2.4375,22.51375,95.013702,9.6875
1990-03-26,2.453125,22.41,96.828201,9.90625
1990-03-27,2.515625,22.721251,96.498299,9.9375
1990-03-28,2.578125,23.24,97.158096,9.875
1990-03-29,2.484375,23.032499,97.323097,9.78125
1990-03-30,2.46875,22.825001,96.828201,9.6875
1990-04-02,2.375,22.41,95.508598,9.5625
1990-04-03,2.4375,23.24,95.6735,9.625
1990-04-04,2.421875,23.34375,95.343597,9.4375
1990-04-05,2.390625,23.655001,95.343597,9.03125
1990-04-06,2.328125,23.862499,94.353897,8.84375
1990-04-09,2.296875,23.655001,94.518799,9.03125
1990-04-10,2.359375,24.17375,94.6838,9.40625
1990-04-11,2.390625,24.588751,94.6838,9.4375
1990-04-12,2.359375,24.485001,94.848801,9.40625
1990-04-16,2.375,25.1075,94.848801,9.25
1990-04-17,2.4375,25.73,93.199203,9.34375
1990-04-18,2.359375,24.796249,90.724899,9.34375
1990-04-19,2.359375,24.692499,89.735199,9.3125
1990-04-20,2.34375,23.655001,88.415497,9.28125
1990-04-23,2.359375,23.655001,85.611298,9.25
1990-04-24,2.328125,23.24,84.786499,9.25
1990-04-25,2.3125,23.758751,83.301903,9.125
1990-04-26,2.296875,24.07,83.631897,9.21875
1990-04-27,2.234375,23.758751,82.477203,9.3125
1990-04-30,2.25,23.862499,83.137001,9.5
1990-05-01,2.28125,24.07,83.9618,9.71875
1990-05-02,2.34375,25.00375,85.776299,9.8125
1990-05-03,2.375,24.38125,85.776299,10.0
1990-05-04,2.390625,24.692499,87.9207,9.875
1990-05-07,2.40625,24.796249,87.9207,9.9375
1990-05-08,2.4375,24.588751,89.075302,9.75
1990-05-09,2.453125,24.588751,86.436096,9.6875
1990-05-10,2.453125,24.692499,86.930901,9.65625
1990-05-11,2.5625,25.315001,87.425797,9.84375
1990-05-14,2.671875,25.9375,88.580498,9.875
1990-05-15,2.75,26.456249,88.250603,9.90625
1990-05-16,2.734375,26.456249,88.580498,9.84375
1990-05-17,2.703125,26.66375,90.559898,9.875
1990-05-18,2.6875,26.456249,90.230003,9.8125
1990-05-21,2.703125,26.7675,90.724899,9.84375
1990-05-22,2.65625,26.975,92.209503,9.65625
1990-05-23,2.640625,26.87125,89.735199,9.6875
1990-05-24,2.671875,27.078751,88.9104,9.46875
1990-05-25,2.671875,26.559999,88.679497,9.25
1990-05-29,2.734375,27.389999,89.372299,9.3125
1990-05-30,2.84375,27.078751,91.681602,9.4375
1990-05-31,2.796875,27.078751,92.6054,9.6875
1990-06-01,2.859375,27.286249,93.529099,9.96875
1990-06-04,2.859375,27.5975,94.6838,10.5
1990-06-05,2.921875,28.53125,96.069397,10.875
1990-06-06,2.859375,27.805,94.452904,10.8125
1990-06-07,2.859375,27.389999,92.836304,10.25
1990-06-08,2.8125,26.559999,92.374397,10.34375
1990-06-11,2.8125,27.182501,91.450699,10.34375
1990-06-12,2.828125,27.49375,91.912598,10.375
1990-06-13,2.8125,27.5975,93.529099,10.09375
1990-06-14,2.796875,28.116249,92.143501,9.4375
1990-06-15,2.75,27.908751,90.757896,9.8125
1990-06-18,2.6875,27.389999,89.372299,9.59375
1990-06-19,2.703125,27.286249,90.065102,9.5625
1990-06-20,2.6875,27.70125,92.836304,9.40625
1990-06-21,2.6875,27.908751,93.0672,9.59375
1990-06-22,2.609375,28.32375,93.298203,9.4375
1990-06-25,2.609375,28.219999,95.376602,9.4375
1990-06-26,2.65625,27.805,95.145699,9.125
1990-06-27,2.71875,28.53125,93.298203,9.25
1990-06-28,2.71875,28.4275,91.681602,9.34375
1990-06-29,2.71875,28.32375,90.9888,9.375
1990-07-02,2.65625,28.635,90.295998,9.28125
1990-07-03,2.71875,29.2575,89.834099,9.125
1990-07-05,2.71875,29.049999,90.295998,8.90625
1990-07-06,2.734375,29.2575,91.912598,9.25
1990-07-09,2.765625,28.946251,93.0672,9.0
1990-07-10,2.640625,28.946251,92.374397,8.71875
1990-07-11,2.53125,29.56875,93.760101,8.65625
1990-07-12,2.546875,30.19125,94.221901,8.59375
1990-07-13,2.609375,30.502501,92.836304,8.6875
1990-07-16,2.625,31.02125,94.6838,9.125
1990-07-17,2.609375,30.606251,96.762199,9.46875
1990-07-18,2.5,30.0875,97.455002,9.375
1990-07-19,2.484375,28.73875,95.838501,9.28125
1990-07-20,2.53125,27.70125,94.221901,9.1875
1990-07-23,2.5,27.182501,91.681602,9.0625
1990-07-24,2.484375,26.66375,91.681602,9.0
1990-07-25,2.546875,27.286249,93.990997,9.0625
1990-07-26,2.4375,27.805,92.836304,9.03125
1990-07-27,2.484375,26.456249,90.9888,9.03125
1990-07-30,2.484375,26.248751,89.141296,8.9375
1990-07-31,2.484375,26.7675,90.065102,8.96875
