date,Citi_OT,BAC_OT,Barclay_OT,OT
1989-07-31,22.41,13.375,84.9515,2.65625
1989-08-01,22.928749,13.5625,84.456596,2.671875
1989-08-02,23.032499,13.625,83.301903,2.703125
1989-08-03,22.51375,13.53125,83.301903,2.703125
1989-08-04,22.6175,13.59375,84.126701,2.703125
1989-08-07,22.928749,13.71875,84.621597,2.8125
1989-08-08,23.24,13.59375,85.446297,2.828125
1989-08-09,22.825001,13.53125,86.106201,2.78125
1989-08-10,23.24,13.53125,86.271103,2.8125
1989-08-11,22.825001,13.46875,86.106201,2.71875
1989-08-14,21.891251,13.1875,84.291702,2.734375
1989-08-15,22.41,13.0,84.456596,2.734375
1989-08-16,22.825001,13.25,85.281403,2.75
1989-08-17,22.721251,13.40625,85.9412,2.703125
1989-08-18,22.928749,13.40625,86.271103,2.703125
1989-08-21,22.30625,13.1875,86.436096,2.65625
1989-08-22,22.51375,12.9375,86.436096,2.671875
1989-08-23,22.6175,12.9375,88.085602,2.609375
1989-08-24,22.51375,13.21875,91.384697,2.734375
1989-08-25,22.30625,13.25,91.7146,2.75
1989-08-28,22.41,13.09375,91.7146,2.8125
1989-08-29,21.995001,13.25,89.900101,2.78125
1989-08-30,22.6175,13.125,89.405296,2.765625
1989-08-31,22.6175,13.03125,89.075302,2.78125
1989-09-01,22.825001,13.09375,89.405296,2.8125
1989-09-05,22.41,13.09375,89.075302,2.8125
1989-09-06,22.202499,13.03125,88.580498,2.765625
1989-09-07,22.098749,12.75,89.240303,2.71875
1989-09-08,22.41,12.9375,89.735199,2.796875
1989-09-11,22.30625,12.8125,89.240303,2.796875
1989-09-12,22.825001,12.8125,89.405296,2.796875
1989-09-13,22.721251,12.4375,89.075302,2.78125
1989-09-14,22.202499,12.625,88.9104,2.78125
1989-09-15,22.202499,12.75,87.425797,2.78125
1989-09-18,22.30625,12.84375,87.755699,2.8125
1989-09-19,22.30625,12.6875,87.755699,2.796875
1989-09-20,22.202499,12.84375,88.085602,2.84375
1989-09-21,22.51375,12.96875,88.745399,2.8125
1989-09-22,22.825001,13.03125,89.405296,2.828125
1989-09-25,22.51375,12.9375,89.240303,2.828125
1989-09-26,22.51375,12.625,89.075302,2.828125
1989-09-27,23.24,12.90625,89.240303,2.828125
1989-09-28,23.34375,13.125,87.9207,2.859375
1989-09-29,23.13625,13.125,86.930901,2.875
1989-10-02,23.032499,13.0625,85.116402,2.984375
1989-10-03,23.655001,13.09375,86.106201,2.953125
1989-10-04,24.07,13.0625,85.281403,2.875
1989-10-05,24.692499,12.8125,84.291702,2.921875
