date,Wellfargo_OT,BAC_OT,Barclay_OT,OT
1989-09-14,2.78125,12.625,88.9104,22.202499
1989-09-15,2.78125,12.75,87.425797,22.202499
1989-09-18,2.8125,12.84375,87.755699,22.30625
1989-09-19,2.796875,12.6875,87.755699,22.30625
1989-09-20,2.84375,12.84375,88.085602,22.202499
1989-09-21,2.8125,12.96875,88.745399,22.51375
1989-09-22,2.828125,13.03125,89.405296,22.825001
1989-09-25,2.828125,12.9375,89.240303,22.51375
1989-09-26,2.828125,12.625,89.075302,22.51375
1989-09-27,2.828125,12.90625,89.240303,23.24
1989-09-28,2.859375,13.125,87.9207,23.34375
1989-09-29,2.875,13.125,86.930901,23.13625
1989-10-02,2.984375,13.0625,85.116402,23.032499
1989-10-03,2.953125,13.09375,86.106201,23.655001
1989-10-04,2.875,13.0625,85.281403,24.07
1989-10-05,2.921875,12.8125,84.291702,24.692499
1989-10-06,2.890625,12.84375,83.796799,24.485001
1989-10-09,2.921875,12.8125,83.137001,24.2775
1989-10-10,2.984375,12.78125,82.477203,24.588751
1989-10-11,2.921875,12.75,82.477203,24.38125
1989-10-12,2.875,12.625,83.301903,24.38125
1989-10-13,2.8125,11.875,81.487396,21.68375
1989-10-16,2.8125,12.75,79.672897,23.032499
1989-10-17,2.859375,12.46875,78.353302,23.4475
1989-10-18,2.828125,12.40625,77.858398,23.966249
1989-10-19,2.84375,12.625,78.1884,24.692499
1989-10-20,2.84375,12.65625,78.353302,24.588751
1989-10-23,2.78125,12.75,78.023399,23.862499
1989-10-24,2.75,12.4375,76.538803,23.4475
1989-10-25,2.8125,12.375,76.703796,23.862499
1989-10-26,2.8125,12.125,75.549103,23.758751
1989-10-27,2.75,11.5625,73.899498,22.825001
1989-10-30,2.71875,11.71875,74.889297,23.4475
1989-10-31,2.71875,11.8125,76.373901,23.862499
1989-11-01,2.71875,11.65625,76.538803,23.4475
1989-11-02,2.65625,11.5,76.703796,23.55125
1989-11-03,2.65625,11.46875,78.848198,23.655001
1989-11-06,2.65625,11.15625,78.353302,23.34375
1989-11-07,2.65625,11.375,78.1884,23.032499
1989-11-08,2.671875,11.78125,77.858398,22.928749
1989-11-09,2.59375,11.84375,81.9823,22.721251
1989-11-10,2.59375,12.1875,85.281403,23.032499
1989-11-13,2.65625,12.5,84.9515,23.24
1989-11-14,2.640625,12.3125,84.786499,23.13625
1989-11-15,2.6875,12.28125,84.786499,23.032499
1989-11-16,2.65625,12.21875,85.611298,22.928749
1989-11-17,2.609375,12.15625,86.930901,23.032499
1989-11-20,2.609375,11.875,84.621597,22.928749
1989-11-21,2.625,11.78125,84.456596,23.13625
1989-11-22,2.671875,11.71875,84.291702,23.24
1989-11-24,2.625,11.75,86.600998,23.655001
1989-11-27,2.625,11.90625,86.436096,24.17375
1989-11-28,2.640625,12.0,87.425797,24.17375
1989-11-29,2.6875,11.9375,89.735199,23.862499
1989-11-30,2.703125,11.71875,89.405296,24.17375
1989-12-01,2.796875,11.59375,90.230003,24.588751
1989-12-04,2.78125,11.4375,90.889801,24.692499
1989-12-05,2.75,11.21875,90.394997,24.485001
1989-12-06,2.609375,10.59375,90.559898,23.758751
1989-12-07,2.65625,10.90625,90.065102,23.4475
1989-12-08,2.640625,10.96875,89.405296,24.07
1989-12-11,2.65625,10.75,89.735199,24.17375
1989-12-12,2.671875,11.0,91.054802,24.38125
1989-12-13,2.5625,11.0,92.869301,24.17375
1989-12-14,2.46875,11.0,92.209503,24.485001
1989-12-15,2.40625,11.03125,92.209503,24.17375
1989-12-18,2.375,10.71875,92.044502,22.928749
1989-12-19,2.40625,10.40625,90.559898,22.51375
1989-12-20,2.5,10.75,90.724899,22.51375
1989-12-21,2.59375,10.875,91.549698,22.30625
1989-12-22,2.640625,11.09375,92.044502,22.51375
1989-12-26,2.734375,11.375,92.044502,22.51375
1989-12-27,2.796875,11.53125,93.529099,22.825001
1989-12-28,2.859375,11.625,93.034302,22.928749
1989-12-29,2.8125,11.5625,94.188904,23.655001
1990-01-02,2.828125,11.65625,94.353897,24.38125
1990-01-03,2.703125,11.75,95.508598,24.692499
1990-01-04,2.671875,11.5,94.848801,24.38125
1990-01-05,2.59375,11.25,95.508598,24.588751
1990-01-08,2.671875,11.3125,95.508598,24.796249
1990-01-09,2.59375,11.3125,95.508598,24.485001
1990-01-10,2.625,11.09375,93.859001,24.2775
1990-01-11,2.625,11.0,93.694099,24.485001
1990-01-12,2.578125,10.6875,92.209503,23.24
1990-01-15,2.5625,10.375,91.384697,23.13625
1990-01-16,2.59375,10.75,91.054802,23.032499
1990-01-17,2.640625,10.8125,92.374397,23.655001
1990-01-18,2.640625,10.65625,92.044502,23.966249
1990-01-19,2.640625,11.0625,91.549698,23.966249
1990-01-22,2.578125,10.875,90.559898,22.928749
1990-01-23,2.578125,11.09375,90.724899,22.202499
1990-01-24,2.546875,10.96875,91.054802,22.41
1990-01-25,2.5625,10.9375,89.900101,21.58
1990-01-26,2.609375,10.75,91.384697,21.7875
1990-01-29,2.578125,10.625,92.209503,21.68375
1990-01-30,2.515625,10.21875,93.529099,20.85375
1990-01-31,2.59375,10.5,95.013702,21.68375
1990-02-01,2.546875,10.34375,96.6633,21.7875
1990-02-02,2.546875,10.71875,96.6633,22.41
1990-02-05,2.46875,10.5,96.003403,22.30625
1990-02-06,2.359375,10.375,94.188904,21.58
1990-02-07,2.375,10.5625,93.199203,22.41
1990-02-08,2.375,10.4375,93.364197,22.202499
1990-02-09,2.421875,10.53125,93.199203,22.30625
1990-02-12,2.359375,10.53125,91.549698,21.7875
1990-02-13,2.375,10.5,91.384697,21.47625
1990-02-14,2.375,10.65625,90.724899,21.47625
1990-02-15,2.46875,10.9375,90.065102,21.995001
1990-02-16,2.46875,11.1875,91.054802,22.202499
1990-02-20,2.375,11.03125,91.549698,21.58
1990-02-21,2.359375,10.96875,91.219803,21.58
1990-02-22,2.390625,11.09375,91.7146,21.372499
1990-02-23,2.390625,11.0,90.724899,21.372499
1990-02-26,2.4375,11.0,93.364197,22.202499
1990-02-27,2.4375,11.21875,93.034302,22.098749
1990-02-28,2.4375,11.125,93.859001,22.30625
1990-03-01,2.40625,11.15625,95.6735,22.30625
1990-03-02,2.40625,11.5,95.6735,22.30625
1990-03-05,2.390625,11.46875,95.013702,22.202499
1990-03-06,2.40625,11.375,95.838501,22.202499
1990-03-07,2.390625,11.34375,96.498299,21.995001
1990-03-08,2.421875,10.90625,96.6633,22.6175
1990-03-09,2.4375,10.375,96.828201,22.721251
1990-03-12,2.484375,10.34375,93.859001,22.6175
1990-03-13,2.484375,10.15625,93.364197,22.51375
1990-03-14,2.46875,10.0625,93.529099,23.34375
1990-03-15,2.46875,10.125,93.529099,23.55125
1990-03-16,2.5,10.125,93.859001,23.862499
1990-03-19,2.453125,10.0625,92.7043,23.655001
1990-03-20,2.453125,9.96875,94.518799,23.032499
1990-03-21,2.421875,9.9375,93.529099,23.032499
1990-03-22,2.359375,9.625,93.694099,22.41
1990-03-23,2.4375,9.6875,95.013702,22.51375
1990-03-26,2.453125,9.90625,96.828201,22.41
1990-03-27,2.515625,9.9375,96.498299,22.721251
1990-03-28,2.578125,9.875,97.158096,23.24
1990-03-29,2.484375,9.78125,97.323097,23.032499
1990-03-30,2.46875,9.6875,96.828201,22.825001
1990-04-02,2.375,9.5625,95.508598,22.41
1990-04-03,2.4375,9.625,95.6735,23.24
1990-04-04,2.421875,9.4375,95.343597,23.34375
1990-04-05,2.390625,9.03125,95.343597,23.655001
1990-04-06,2.328125,8.84375,94.353897,23.862499
1990-04-09,2.296875,9.03125,94.518799,23.655001
1990-04-10,2.359375,9.40625,94.6838,24.17375
1990-04-11,2.390625,9.4375,94.6838,24.588751
1990-04-12,2.359375,9.40625,94.848801,24.485001
1990-04-16,2.375,9.25,94.848801,25.1075
1990-04-17,2.4375,9.34375,93.199203,25.73
1990-04-18,2.359375,9.34375,90.724899,24.796249
